Model,Accuracy,F1,AUC,Fold,Scenario
KNN,0.4074074074074074,0.4666666666666667,0.5277777777777778,14,B_Fidelity
KNN,0.7037037037037037,0.6923076923076923,0.7555555555555555,14,C_Scale
KNN,0.8888888888888888,0.8695652173913043,0.9222222222222223,14,D_Augment_0.5
KNN,0.8518518518518519,0.8181818181818182,0.9,14,D_Augment_1.0
KNN,0.6666666666666666,0.6666666666666666,0.7944444444444445,14,D_Augment_2.0
KNN,0.5185185185185185,0.5185185185185185,0.625,14,D_Augment_4.0
LR,0.8148148148148148,0.782608695652174,0.8833333333333334,14,A_Baseline
LR,0.7037037037037037,0.7142857142857143,0.7500000000000001,14,B_Fidelity
LR,0.8148148148148148,0.8,0.8833333333333334,14,C_Scale
LR,0.8888888888888888,0.88,0.9111111111111111,14,D_Augment_0.5
LR,0.8518518518518519,0.8461538461538461,0.8722222222222222,14,D_Augment_1.0
LR,0.8518518518518519,0.8333333333333334,0.9,14,D_Augment_2.0
LR,0.8148148148148148,0.8,0.9055555555555556,14,D_Augment_4.0
RF,0.8846153846153846,0.8695652173913043,0.9523809523809523,15,A_Baseline
RF,0.8461538461538461,0.8333333333333334,0.9553571428571429,15,B_Fidelity
RF,0.8461538461538461,0.8181818181818182,0.9226190476190476,15,C_Scale
RF,0.9230769230769231,0.9090909090909091,0.9345238095238094,15,D_Augment_0.5
RF,0.8846153846153846,0.8695652173913043,0.9642857142857143,15,D_Augment_1.0
RF,0.8076923076923077,0.7619047619047619,0.8809523809523809,15,D_Augment_2.0
RF,0.9230769230769231,0.9166666666666666,0.9583333333333333,15,D_Augment_4.0
XGB,0.8846153846153846,0.8695652173913043,0.9464285714285714,15,A_Baseline
XGB,0.9230769230769231,0.9090909090909091,0.8928571428571429,15,B_Fidelity
XGB,0.8846153846153846,0.8695652173913043,0.9375,15,C_Scale
XGB,0.8846153846153846,0.8695652173913043,0.9285714285714285,15,D_Augment_0.5
XGB,0.8076923076923077,0.782608695652174,0.9226190476190477,15,D_Augment_1.0
XGB,0.8076923076923077,0.8,0.931547619047619,15,D_Augment_2.0
XGB,0.8846153846153846,0.8695652173913043,0.9464285714285714,15,D_Augment_4.0
KNN,0.8076923076923077,0.7619047619047619,0.9107142857142857,15,A_Baseline
KNN,0.7692307692307693,0.7272727272727273,0.8154761904761906,15,B_Fidelity
KNN,0.8461538461538461,0.8,0.988095238095238,15,C_Scale
KNN,0.7307692307692307,0.6666666666666666,0.7172619047619047,15,D_Augment_0.5
KNN,0.6153846153846154,0.6153846153846154,0.6785714285714286,15,D_Augment_1.0
KNN,0.7307692307692307,0.6956521739130435,0.7559523809523809,15,D_Augment_2.0
KNN,0.7307692307692307,0.631578947368421,0.7559523809523809,15,D_Augment_4.0
LR,0.8461538461538461,0.8181818181818182,0.9345238095238094,15,A_Baseline
LR,0.8461538461538461,0.8333333333333334,0.8511904761904762,15,B_Fidelity
LR,0.7692307692307693,0.7272727272727273,0.8333333333333333,15,C_Scale
LR,0.9230769230769231,0.9090909090909091,0.9642857142857142,15,D_Augment_0.5
LR,0.7692307692307693,0.7,0.9047619047619047,15,D_Augment_1.0
LR,0.8461538461538461,0.8181818181818182,0.9047619047619047,15,D_Augment_2.0
LR,0.8076923076923077,0.782608695652174,0.863095238095238,15,D_Augment_4.0
RF,0.8518518518518519,0.8181818181818182,0.9835164835164835,16,A_Baseline
RF,0.7777777777777778,0.75,0.8186813186813187,16,B_Fidelity
RF,0.8518518518518519,0.8333333333333334,0.9285714285714286,16,C_Scale
RF,0.7777777777777778,0.7272727272727273,0.8763736263736265,16,D_Augment_0.5
RF,0.8148148148148148,0.8,0.9175824175824177,16,D_Augment_1.0
RF,0.8148148148148148,0.782608695652174,0.9340659340659341,16,D_Augment_2.0
RF,0.8518518518518519,0.8461538461538461,0.9285714285714286,16,D_Augment_4.0
XGB,0.7037037037037037,0.5555555555555556,0.967032967032967,16,A_Baseline
XGB,0.8518518518518519,0.8333333333333334,0.912087912087912,16,B_Fidelity
XGB,0.8518518518518519,0.8181818181818182,0.9258241758241759,16,C_Scale
XGB,0.8148148148148148,0.7619047619047619,0.9835164835164836,16,D_Augment_0.5
XGB,0.8518518518518519,0.8181818181818182,0.9285714285714285,16,D_Augment_1.0
XGB,0.8518518518518519,0.8181818181818182,0.9615384615384616,16,D_Augment_2.0
XGB,0.7777777777777778,0.7,0.9670329670329669,16,D_Augment_4.0
